                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                 1.1849,                0.76209,                 1.0363,                0.85236,                0.79372,                0.87066,                0.60587,                 1.0453,                0.56827,                0.98227,               0.006733,               0.006733,               0.006733
                    101,                 1.1856,                0.75759,                 1.0363,                0.85653,                 0.7913,                0.87088,                0.60567,                 1.0452,                0.56816,                0.98218,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.1841,                0.75932,                 1.0387,                0.85579,                 0.7918,                0.87097,                0.60589,                 1.0452,                0.56832,                0.98214,               0.006667,               0.006667,               0.006667
                    103,                 1.1873,                0.75812,                 1.0376,                0.85784,                 0.7897,                0.87118,                0.60646,                  1.045,                0.56786,                0.98206,               0.006634,               0.006634,               0.006634
                    104,                 1.1839,                0.75567,                 1.0366,                0.85576,                0.79023,                0.87122,                0.60627,                 1.0456,                0.56769,                0.98216,               0.006601,               0.006601,               0.006601
                    105,                 1.1739,                0.75097,                 1.0314,                0.85798,                0.78791,                0.87146,                0.60628,                 1.0456,                0.56733,                0.98208,               0.006568,               0.006568,               0.006568
                    106,                  1.179,                0.75487,                 1.0365,                0.85796,                0.78879,                0.87158,                0.60672,                 1.0457,                0.56723,                0.98206,               0.006535,               0.006535,               0.006535
                    107,                 1.1834,                0.75881,                 1.0357,                0.85636,                0.79058,                0.87173,                0.60684,                 1.0451,                0.56694,                0.98187,               0.006502,               0.006502,               0.006502
                    108,                  1.182,                0.75701,                 1.0349,                0.85747,                0.79069,                0.87157,                0.60688,                 1.0448,                0.56641,                0.98176,               0.006469,               0.006469,               0.006469
                    109,                 1.1764,                0.74805,                 1.0323,                0.85683,                0.79055,                0.87161,                0.60693,                 1.0453,                0.56631,                0.98186,               0.006436,               0.006436,               0.006436
                    110,                 1.1812,                0.75355,                 1.0365,                0.85704,                0.79059,                0.87175,                 0.6069,                 1.0455,                0.56613,                0.98194,               0.006403,               0.006403,               0.006403
                    111,                 1.1769,                0.75133,                 1.0331,                0.85693,                 0.7905,                0.87195,                0.60717,                 1.0456,                0.56599,                0.98194,                0.00637,                0.00637,                0.00637
                    112,                 1.1821,                0.75331,                  1.036,                0.85945,                0.78686,                0.87197,                0.60749,                 1.0448,                0.56567,                0.98167,               0.006337,               0.006337,               0.006337
                    113,                 1.1814,                0.75959,                 1.0369,                 0.8595,                0.78689,                0.87209,                0.60776,                 1.0446,                0.56549,                0.98165,               0.006304,               0.006304,               0.006304
